Date,Open,High,Low,Adj Close,Volume,Trend,Trend Num
10/14/2015,1994,2001,1972,1891.580566,601,TRUE,-1
10/15/2015,1990,1990,1960.050049,1887.905273,1797,FALSE,-2.006018054
10/16/2015,1984,2000.75,1955,1895.638062,2182,FALSE,-3.015075377
10/19/2015,1999,2019.449951,1984,1911.055542,2773,TRUE,7.560483871
10/20/2015,2020,2020,1986,1911.532837,491,TRUE,10.50525263
10/21/2015,2000,2033.849976,1985.199951,1934.023315,1532,FALSE,-9.900990099
10/23/2015,2010,2032.800049,1990,1907.465332,1725,TRUE,5
10/26/2015,1997.400024,2008.949951,1991.25,1917.705811,431,FALSE,-6.268644776
10/27/2015,1990,2009.300049,1978.800049,1916.318115,581,FALSE,-3.704828232
10/28/2015,1987.25,1993.150024,1950,1870.141479,642,FALSE,-1.381909548
10/29/2015,1960,1984.949951,1930,1888.707642,1065,FALSE,-13.71241666
10/30/2015,1980,1996.5,1940.5,1879.472046,671,TRUE,10.20408163
11/2/2015,1960,1980,1906.650024,1841.23877,2184,FALSE,-10.1010101
11/3/2015,1945.75,1947.699951,1911,1845.880127,1092,FALSE,-7.270408163
11/4/2015,1940,1950,1915,1838.654663,342,FALSE,-2.955158679
11/5/2015,1920,1923.800049,1896.849976,1825.208496,16450,FALSE,-10.30927835
11/6/2015,1913.849976,1915,1882.099976,1825.112671,842,FALSE,-3.2031375
11/9/2015,1886.050049,1920.949951,1870.849976,1831.189941,671,FALSE,-14.52565632
11/10/2015,1919.949951,1932.800049,1900,1828.557983,1128,TRUE,17.97402037
11/13/2015,1915,1939.099976,1903,1852.770996,301,FALSE,-2.578166685
11/16/2015,1920,1930,1910.900024,1843.535767,231,TRUE,2.610966057
11/17/2015,1910,1945.699951,1905,1856.264282,2901,FALSE,-5.208333333
11/18/2015,1930,1959,1920,1859.900879,770,TRUE,10.47120419
11/19/2015,1945.050049,1950,1914,1841.478149,787,TRUE,7.79795285
11/20/2015,1940,1995,1930,1894.019287,1837,FALSE,-2.596359411
11/23/2015,1984,1990,1920.5,1840.664673,2303,TRUE,22.68041237
11/24/2015,1927,1950,1918,1838.654663,1355,FALSE,-28.72983871
11/26/2015,1915,1959.25,1915,1864.351074,2710,FALSE,-6.227296316
11/27/2015,1941.199951,2022,1902.050049,1926.606201,3575,TRUE,13.68143655
11/30/2015,2010,2019.949951,1970.199951,1896.507324,502,TRUE,35.44202078
12/1/2015,1990,1994.699951,1967,1889.520874,226,FALSE,-9.950248756
12/2/2015,1970,1985,1928.75,1856.503174,1802,FALSE,-10.05025126
12/3/2015,1940,1957.949951,1901,1842.004395,1429,FALSE,-15.2284264
12/4/2015,1920,1993.099976,1912,1876.314209,851,FALSE,-10.30927835
12/7/2015,1965,1965,1949.199951,1866.887207,4505,TRUE,23.4375
12/8/2015,1945,1958.849976,1903.900024,1831.237549,755,FALSE,-10.17811705
