Date,Open,High,Low,Close,Adj Close,Volume,Trend
6/14/2018,261.90,263.20,258.65,258.80,257.6590,468,TRUE
6/15/2018,261.65,261.65,259.00,260.00,258.8537,94,FALSE
6/18/2018,263.00,265.55,260.00,260.95,259.7995,1161,TRUE
6/19/2018,255.85,257.00,245.30,250.45,249.3458,581,FALSE
6/20/2018,250.45,253.70,242.50,245.15,244.0692,5528,FALSE
6/21/2018,246.15,247.45,242.60,244.90,243.8203,148,FALSE
6/22/2018,244.00,255.00,244.00,249.25,248.1511,663,FALSE
6/25/2018,249.25,253.65,247.40,249.80,248.6987,651,TRUE
6/26/2018,249.95,252.90,247.20,249.00,247.9022,303,TRUE
6/27/2018,246.15,252.00,245.30,247.30,246.2097,2147,FALSE
6/28/2018,245.00,247.60,242.00,242.95,241.8789,454,FALSE
6/29/2018,247.50,247.50,237.10,238.30,237.2494,1305,TRUE
7/2/2018,237.55,237.55,231.30,233.70,232.6696,313,FALSE
7/3/2018,257.00,257.00,229.40,230.70,229.6829,421,TRUE
7/4/2018,226.50,231.00,226.00,230.70,229.6829,212,FALSE
7/5/2018,229.25,234.65,225.10,227.80,226.7957,874,TRUE
7/6/2018,225.60,236.10,225.00,231.40,230.3798,496,FALSE
7/9/2018,233.00,235.85,227.25,229.95,228.9362,1059,TRUE
7/10/2018,231.00,233.90,231.00,231.80,230.7780,381,FALSE
7/11/2018,231.80,231.80,231.80,231.80,230.7780,0,TRUE
7/12/2018,232.05,232.05,228.10,229.10,228.0899,773,TRUE
7/13/2018,229.00,230.95,228.00,229.10,228.0899,119,FALSE
7/16/2018,227.00,229.80,222.55,227.75,226.7459,477,FALSE
7/17/2018,226.00,233.00,224.50,227.80,226.7957,566,FALSE
7/18/2018,229.00,251.95,227.00,240.45,239.3899,1861,TRUE
7/19/2018,232.00,252.00,225.00,242.60,241.5304,2670,TRUE
7/20/2018,240.00,251.85,235.15,237.85,236.8014,3392,TRUE
7/23/2018,255.00,255.00,236.60,241.55,240.4850,1004,TRUE
7/24/2018,242.00,251.40,240.00,247.50,246.4088,3249,FALSE
7/25/2018,250.00,250.00,245.00,245.85,244.7661,235,TRUE
7/26/2018,243.10,251.00,243.00,250.40,249.2960,1123,FALSE
7/27/2018,247.00,250.00,245.00,248.40,247.3048,1105,TRUE
7/30/2018,248.90,250.65,245.00,245.40,244.3181,396,TRUE
7/31/2018,243.05,255.25,243.05,247.90,246.8070,3323,FALSE
8/1/2018,250.40,251.65,247.50,249.50,248.4000,402,TRUE
