Date,Open,High,Low,Close,Adj Close,Volume,Trend
10/16/2014,174.525,182.15,171.000,172.125,167.82,28206,TRUE
10/17/2014,172.500,175.38,171.000,172.825,168.50,10104,FALSE
10/20/2014,177.425,177.43,170.025,173.525,169.18,12164,TRUE
10/21/2014,176.850,176.85,172.150,174.025,169.67,10200,FALSE
10/22/2014,175.450,176.50,174.000,174.250,169.89,8038,FALSE
10/27/2014,177.425,177.53,174.075,175.100,170.72,14468,TRUE
10/28/2014,176.000,176.85,171.525,174.125,169.77,11262,FALSE
10/29/2014,175.000,175.70,172.925,174.300,169.94,8854,FALSE
10/30/2014,174.500,175.50,174.000,174.000,169.64,4088,FALSE
10/31/2014,175.000,176.50,173.375,174.150,169.79,4452,TRUE
11/3/2014,176.925,188.00,176.925,181.800,177.25,58800,TRUE
11/5/2014,177.625,218.15,177.625,213.050,207.72,285302,TRUE
11/7/2014,219.100,237.00,213.300,230.550,224.78,418132,TRUE
11/10/2014,229.525,230.00,212.550,221.100,215.56,123170,TRUE
11/11/2014,225.250,235.65,219.000,226.275,220.61,98756,FALSE
11/12/2014,226.775,236.50,226.775,231.800,226.00,39448,TRUE
11/13/2014,233.800,233.98,225.050,226.250,220.59,18896,TRUE
11/14/2014,226.500,232.00,219.500,222.800,217.22,14084,FALSE
11/17/2014,224.500,231.50,218.175,222.400,216.83,30408,FALSE
11/18/2014,234.000,245.00,223.300,235.525,229.63,126292,TRUE
11/19/2014,239.000,244.38,230.475,233.625,227.78,40228,TRUE
11/20/2014,235.025,235.03,226.025,229.725,223.97,15856,FALSE
11/21/2014,229.675,235.00,227.100,230.825,225.05,11308,FALSE
11/24/2014,233.175,234.23,228.000,229.150,223.41,11006,TRUE
11/25/2014,231.025,231.03,222.350,223.500,217.90,10214,FALSE
11/26/2014,223.500,230.40,221.500,224.000,218.39,12116,FALSE
11/27/2014,225.500,228.45,223.850,224.350,218.73,3686,TRUE
11/28/2014,227.500,227.50,216.800,219.325,213.83,10022,TRUE
12/1/2014,189.250,226.98,189.250,214.875,209.50,7214,FALSE
12/2/2014,214.375,222.50,208.500,211.750,206.45,8312,TRUE
12/3/2014,214.600,218.75,213.500,217.275,211.84,12114,TRUE
12/4/2014,223.000,225.30,218.575,219.275,213.79,14300,TRUE
12/5/2014,221.425,223.50,217.650,218.475,213.01,4812,FALSE
12/8/2014,221.275,222.70,211.150,214.125,208.76,8426,FALSE
12/9/2014,213.000,213.98,204.525,205.375,200.23,10874,FALSE
12/10/2014,205.000,207.60,201.675,205.475,200.33,7084,FALSE
12/11/2014,204.000,205.00,196.575,200.875,195.85,8226,FALSE
12/12/2014,206.725,209.40,201.000,201.925,196.87,7818,TRUE
12/15/2014,202.500,203.33,197.125,197.650,192.70,7596,FALSE
12/16/2014,196.450,196.45,188.600,192.400,187.58,29042,FALSE
12/17/2014,195.000,196.95,190.500,195.400,190.51,8432,FALSE
12/18/2014,197.975,205.25,195.900,199.250,194.26,11580,TRUE
12/19/2014,203.850,204.35,201.125,202.800,197.72,4786,TRUE
12/22/2014,201.850,236.60,201.850,228.525,222.80,185158,FALSE
12/23/2014,229.500,235.88,223.500,226.450,220.78,78980,TRUE
12/24/2014,228.800,232.40,224.025,225.300,219.66,26694,FALSE
12/26/2014,225.000,226.78,217.275,222.650,217.08,30940,FALSE
12/29/2014,224.850,225.75,218.000,218.775,213.30,9786,FALSE
12/30/2014,219.700,235.85,218.000,226.425,220.76,38058,FALSE
12/31/2014,228.750,232.00,226.025,226.925,221.24,11500,TRUE
1/1/2015,226.725,231.20,222.000,223.775,218.17,12540,FALSE
1/2/2015,224.150,229.23,221.050,222.300,216.73,21674,FALSE
1/5/2015,224.100,230.55,221.425,225.025,219.39,8652,FALSE
1/6/2015,222.550,224.80,217.000,217.700,212.25,9126,FALSE
1/7/2015,217.500,221.55,215.750,218.800,213.32,5590,FALSE
1/8/2015,222.750,225.00,221.100,222.675,217.10,4044,TRUE
1/9/2015,225.450,225.45,218.500,220.550,215.03,8798,TRUE
1/12/2015,220.000,220.00,215.250,215.725,210.32,6034,FALSE
1/13/2015,215.500,217.50,210.525,212.525,207.20,12020,FALSE
1/14/2015,216.300,216.30,210.500,212.575,207.25,8774,TRUE
1/15/2015,216.000,216.00,209.375,212.075,206.77,8778,FALSE
1/16/2015,212.975,218.05,210.375,211.125,205.84,12294,FALSE
1/19/2015,217.500,217.50,211.000,212.800,207.47,7440,TRUE
1/20/2015,213.500,213.50,207.500,208.675,203.45,11728,FALSE
1/21/2015,209.975,222.00,208.650,210.900,205.62,35844,FALSE
1/22/2015,210.400,220.00,210.000,215.225,209.84,40030,TRUE
1/23/2015,216.200,217.08,210.000,211.625,206.33,10788,TRUE
1/27/2015,214.625,214.98,207.650,209.850,204.60,12770,FALSE
1/28/2015,210.375,212.35,203.500,205.075,199.94,7300,FALSE
1/29/2015,209.500,211.13,208.500,210.675,205.40,5670,FALSE
1/30/2015,211.000,214.00,206.700,207.200,202.01,6242,TRUE
